,t2_5km,usodosolo,elevacao,slope,ndvi,evi,t2_1km,aspect_LE,aspec_NS
1297,309.287,13.0,27,0.4788847,2545,1263,309.765,-0.18220274,-0.983261
1298,309.287,13.0,15,0.5006032,2667,1645,309.747,0.77229315,0.6352663
1299,309.287,13.0,13,0.4344037,2656,1500,309.675,0.48879418,0.87239915
1300,309.324,13.0,9,0.56824046,2669,1370,309.522,0.12906186,0.9916366
1301,309.324,13.0,17,1.0347661,2951,1370,309.448,0.024936296,-0.99968904
1302,309.324,13.0,19,0.78436935,3166,1735,309.347,-0.9591842,0.28278196
1303,309.324,7.0,36,0.5922252,4100,3455,309.616,-0.9178954,-0.39682242
1304,309.324,10.0,39,0.530836,4499,3625,309.221,0.63382167,-0.7734792
1305,309.488,13.0,39,0.4527281,3311,1864,309.163,0.99915045,0.041210566
1306,309.488,13.0,33,1.0865474,4916,2813,309.212,0.9229355,-0.38495463
1307,309.488,12.0,24,1.2730286,5439,2813,309.24,0.70903885,0.70516944
1308,309.488,13.0,64,1.2709861,5426,3554,309.428,0.5732484,-0.81938165
1309,309.488,13.0,5,2.081683,6495,3258,309.456,-0.45662472,0.8896594
1310,310.046,13.0,4,0.51805,3941,2226,309.776,-0.20369607,0.9790342
1311,310.046,13.0,4,0.18941568,3426,1503,309.295,0.82347375,0.5673543
1312,310.046,13.0,3,0.41548827,2320,1331,308.707,-0.15821616,-0.9874045
1313,310.046,13.0,4,0.47541314,3541,2033,307.905,0.27036443,-0.96275806
1314,310.046,13.0,4,0.41546625,5000,2033,307.117,-0.22645721,0.97402114
1315,310.131,13.0,2,0.19029832,7500,4190,307.355,0.60047483,-0.79964364
1316,310.131,5.0,13,0.07484047,7151,4048,306.657,0.37091672,-0.9286661
1317,310.131,11.0,4,0.11226071,0,0,307.927,0.37091672,-0.9286661
1318,310.131,1.0,14,0.2034336,0,0,308.578,-0.5984601,-0.80115265
1319,310.131,17.0,9,0.24142502,0,0,303.278,-0.94559467,0.32534713
1320,309.58,17.0,8,0.47766012,0,0,301.661,0.4599588,0.8879403
1321,309.58,17.0,17,0.53296304,0,0,302.188,-0.50486267,0.8631997
1322,309.58,17.0,17,0.29355824,0,0,301.501,-0.19338115,-0.9811237
1323,309.58,17.0,17,0.28610802,0,0,301.039,-0.34279764,-0.93940926
1324,309.58,17.0,16,0.28412023,0,0,301.011,-0.8716906,0.49005663
1325,300.036,17.0,15,0.24929297,0,0,301.033,0.8857478,-0.46416688
1326,300.036,17.0,15,0.22613512,0,0,301.181,0.17753427,-0.98411465
1327,300.036,17.0,14,0.20304725,0,0,301.424,-0.806583,-0.59112084
1328,300.036,17.0,14,0.1800563,0,0,301.694,-0.71774405,0.696307
1329,300.036,17.0,13,,0,0,301.886,,
1330,307.73,2.0,287,,8331,4930,306.128,,
1331,307.73,2.0,214,6.4590907,8383,4739,306.486,0.9407151,-0.33919778
1332,307.73,6.0,261,8.453615,8682,4739,306.364,0.35166615,-0.93612546
1333,307.73,2.0,138,8.518835,8687,4787,306.06,0.23248376,-0.9726003
1334,307.73,6.0,54,6.253384,7396,6355,307.153,0.99096197,-0.134143
1335,307.706,10.0,40,5.4877872,6082,4721,307.216,-0.9128938,-0.40819722
1336,307.706,14.0,34,1.1865242,5513,4161,307.451,0.5146426,0.8574048
1337,307.706,14.0,34,0.5816839,7480,4016,307.611,-0.6968245,0.71724164
1338,307.706,12.0,31,0.70154345,7696,4101,307.729,-0.9901424,0.14006437
1339,307.706,12.0,40,0.90411496,6908,4229,308.036,-0.62128955,0.7835811
1340,307.658,14.0,30,1.0842717,7811,4579,307.935,-0.97205806,0.23474063
1341,307.658,12.0,27,0.68710595,7307,3954,307.622,0.9929454,-0.11857288
1342,307.658,14.0,32,0.22695322,7362,4442,307.4,0.3430491,0.93931746
1343,307.658,14.0,36,0.1345644,7419,4353,307.528,-0.8347338,-0.5506537
1344,307.658,14.0,28,0.41977516,7632,4240,307.411,0.9671576,0.2541774
1345,307.753,14.0,16,0.5345036,7345,4499,307.376,-0.9965403,0.08311078
1346,307.753,12.0,17,0.21648145,7389,4654,307.474,-0.99938166,0.035161074
1347,307.753,14.0,17,0.21116334,7389,4560,307.514,0.984382,-0.17604594
1348,307.753,14.0,14,0.3339164,8442,4489,307.589,-0.6478007,0.7618099
1349,307.753,14.0,17,0.55746514,8147,4773,307.665,-0.8681904,0.49623123
1350,307.646,14.0,27,0.8225336,7685,4773,307.305,-0.22225682,0.97498816
1351,307.646,14.0,29,3.845685,7685,4941,307.328,0.47879836,0.8779249
1352,307.646,14.0,84,2.5810106,7338,4506,307.324,0.7374476,-0.67540437
1353,307.646,14.0,44,3.2758942,7210,4029,307.473,-0.9793285,-0.20227611
1354,307.646,14.0,31,0.31352782,6879,3744,307.588,-0.9768755,0.2138091
1355,308.808,12.0,38,0.61851025,5811,4568,307.526,0.49500242,0.8688916
1356,308.808,10.0,38,0.71647495,6972,4202,307.918,-0.53849334,-0.84262973
1357,308.808,14.0,51,0.68710595,5116,3855,307.786,0.9724948,-0.2329246
1358,308.808,13.0,57,0.20990862,4227,3262,308.628,0.12591092,0.9920415
1359,308.808,13.0,58,0.67354923,4118,2348,308.877,0.98395634,0.17840944
1360,309.043,13.0,31,1.1931211,4118,2774,309.198,-0.35675442,0.9341982
1361,309.043,13.0,28,1.9427768,5444,2048,309.248,0.9385211,-0.3452219
1362,309.043,13.0,28,3.670594,5833,1896,309.294,0.9518881,-0.3064459
1363,309.043,13.0,30,5.9079328,7349,1686,309.267,0.323278,-0.946304
1364,309.043,13.0,22,7.642672,4297,2620,309.498,-0.46528095,-0.88516307
1365,309.287,13.0,22,7.9672656,5244,1739,309.598,0.66255575,0.7490126
1366,309.287,13.0,24,6.0111403,2946,1474,309.632,-0.9311457,0.36464727
1367,309.287,13.0,24,2.9457102,3144,1642,309.359,-0.6617897,-0.7496895
1368,309.287,13.0,16,0.3539828,2729,1195,309.808,-0.9646655,0.2634778
1369,309.287,13.0,27,0.23178463,3399,1468,309.66,0.24986802,-0.9682799
1370,309.324,13.0,18,0.2614674,2762,1365,309.45,-0.95974326,0.28087872
1371,309.324,13.0,35,0.55229324,3279,1369,309.342,0.99993366,-0.011517095
1372,309.324,13.0,38,0.7669524,4276,2864,309.115,-0.91193897,0.41032588
1373,309.324,10.0,11,1.2592757,6193,3622,309.179,-0.6582607,0.75279003
1374,309.324,13.0,11,1.4674487,3544,1961,309.107,-0.32812938,0.94463277
1375,309.488,13.0,19,1.3376096,3810,1604,309.248,0.6118351,0.79098535
1376,309.488,13.0,11,0.52806145,4485,3273,309.403,0.014036397,-0.9999015
1377,309.488,13.0,5,0.29322514,3443,4298,309.512,0.9917443,-0.1282312
1378,309.488,13.0,4,1.2247161,2977,3560,309.622,0.99659264,-0.08248088
1379,309.488,13.0,3,0.3906769,4240,2567,309.6,0.14980403,0.9887157
1380,310.046,13.0,5,1.5073581,2729,2226,309.81,0.250296,0.96816933
1381,310.046,13.0,9,1.927403,2729,1503,309.619,-0.9822725,0.18745859
1382,310.046,13.0,12,1.5557586,3247,1452,308.728,0.84736997,-0.53100294
1383,310.046,13.0,14,0.6904707,3768,1780,307.69,0.9220901,-0.38697517
1384,310.046,13.0,14,0.26387104,5825,2756,307.492,-0.9720566,0.23474656
1385,310.131,13.0,5,0.1403615,6159,4190,308.057,-0.97891444,-0.20427068
1386,310.131,11.0,4,0.16522843,7067,2310,307.714,-0.8950358,-0.44599426
1387,310.131,1.0,2,0.17524616,0,0,308.412,-0.9617264,-0.27401152
1388,310.131,17.0,5,0.27339184,0,0,303.028,-0.7302976,-0.68312913
1389,310.131,17.0,9,0.086841114,0,0,302.741,-0.4381487,-0.89890254
1390,309.58,17.0,8,0.3777824,0,0,301.045,-0.60777897,-0.79410625
1391,309.58,17.0,17,0.4251434,0,0,302.055,0.41259104,-0.9109164
1392,309.58,17.0,17,0.24668516,0,0,302.441,-0.9999503,-0.0099734
1393,309.58,17.0,17,0.1661954,0,0,301.516,-0.90222317,-0.43126947
1394,309.58,17.0,16,0.017300492,0,0,301.411,-0.99998975,-0.004531376
1395,300.036,17.0,15,0.086841114,0,0,301.357,-0.7376703,-0.6751611
1396,300.036,17.0,15,0.086841114,0,0,301.357,-0.7376703,-0.6751611
1397,300.036,17.0,14,0.086841114,0,0,301.438,-0.7376703,-0.6751611
1398,300.036,17.0,14,0.086841114,0,0,301.728,-0.7376703,-0.6751611
1399,300.036,17.0,13,,0,0,301.939,,
1400,307.127,4.0,208,,8364,4930,305.691,,
1401,307.127,4.0,383,10.42503,8320,4818,306.349,0.41499317,0.90982455
1402,307.127,2.0,393,8.576241,8330,4668,306.298,-0.91492635,-0.40362078
1403,307.127,2.0,267,9.542472,7837,4742,306.272,-0.3914943,0.92018056
1404,307.127,2.0,157,7.618956,7865,4469,306.872,0.75460917,-0.65617454
1405,307.281,2.0,50,3.7061977,6637,4543,307.674,-0.30832264,-0.95128185
1406,307.281,5.0,30,0.7993807,5134,3946,307.997,0.78867424,-0.6148113
1407,307.281,10.0,30,0.5018877,6400,4014,307.883,-0.1779715,0.9840357
1408,307.281,9.0,26,0.5515169,7215,4168,308.059,0.4137479,0.9103915
1409,307.281,14.0,27,0.7671934,6555,3920,307.941,-0.29351678,-0.9559539
1410,307.701,14.0,18,0.7700382,7557,4924,307.897,-0.91337484,-0.4071196
1411,307.701,12.0,30,0.7344195,7373,4310,307.65,-0.28129637,-0.95962095
1412,307.701,12.0,21,0.8077991,7582,4359,307.526,-0.8553573,0.5180386
1413,307.701,14.0,18,0.682313,7165,4412,307.685,-0.25719815,0.96635866
1414,307.701,14.0,20,0.26194534,7441,4520,307.552,0.36849234,-0.92963076
1415,307.578,14.0,30,0.47182053,7588,4540,307.554,-0.42107648,-0.90702516
1416,307.578,14.0,12,0.5361455,7936,4581,307.451,-0.9997777,0.021086456
1417,307.578,14.0,12,0.09054769,7957,3964,307.325,0.9992739,0.03810022
1418,307.578,8.0,14,0.6240958,7710,4853,308.338,0.52306503,0.8522928
1419,307.578,9.0,37,0.3633616,7938,4856,307.849,-0.049461413,0.998776
1420,307.455,12.0,19,0.39967364,8014,4832,307.271,-0.77518874,0.6317297
1421,307.455,9.0,30,1.9686302,7825,4743,307.727,-0.81602377,0.5780183
1422,307.455,9.0,53,1.9216892,8048,4040,307.896,0.91724676,0.3983194
1423,307.455,9.0,26,1.7424593,7266,4028,307.928,-0.9992084,-0.039781395
1424,307.455,12.0,32,0.6102039,7266,3344,307.477,-0.99021226,-0.13956954
1425,307.284,9.0,40,0.53522116,6280,3451,308.063,-0.084801815,-0.99639785
1426,307.284,12.0,40,0.46878165,6719,4216,307.626,0.7197274,-0.6942568
1427,307.284,14.0,37,0.62657493,4295,3300,307.493,0.9307303,-0.36570638
1428,307.284,12.0,37,1.0049505,2496,2443,307.832,-0.16323614,-0.98658705
1429,307.284,13.0,40,5.599119,4973,2107,308.839,-0.98404396,-0.17792542
1430,307.473,13.0,57,14.469118,6795,2388,309.204,0.8635779,0.5042154
1431,307.473,13.0,63,20.709581,6372,3103,309.265,-0.9171948,-0.39843914
1432,307.473,10.0,96,20.544346,7515,3242,308.56,-0.9889795,0.14805248
1433,307.473,9.0,148,17.401398,7809,3781,308.524,-0.2452711,-0.9694545
1434,307.473,10.0,192,15.346625,7524,2620,308.032,-0.98775935,0.1559853
1435,308.116,13.0,192,12.715364,7436,2932,308.706,0.6285464,0.77777207
1436,308.116,14.0,173,10.087266,6537,1474,308.209,0.9966624,0.08163397
1437,308.116,12.0,31,6.1160097,4222,1642,307.643,-0.815771,0.57837504
1438,308.116,13.0,20,1.4293479,3121,1651,309.698,-0.87345266,-0.48690912
1439,308.116,13.0,16,0.17914683,2571,1905,309.472,-0.110901356,0.9938314
1440,309.193,13.0,17,0.4410556,3602,1283,309.358,-0.643066,-0.7658108
1441,309.193,13.0,12,0.9509994,3580,1472,309.367,-0.52374965,0.8518722
1442,309.193,13.0,9,1.1398493,3523,2603,309.283,0.9744816,-0.2244674
1443,309.193,13.0,7,0.63902605,2425,3622,309.293,-0.1056604,0.9944023
1444,309.193,13.0,7,0.32440713,2000,2971,309.263,-0.9974851,0.07087683
1445,309.561,13.0,9,0.35302615,2429,1484,309.383,-0.9990083,-0.04452483
1446,309.561,13.0,11,1.1850725,2919,1370,309.464,0.6721785,0.7403891
