,t2_5km,usodosolo,elevacao,slope,ndvi,evi,t2_1km,aspect_LE,aspec_NS
0,304.924,10.0,497,,7594,3881,303.587,,
1,304.924,14.0,506,,7715,3896,303.101,,
2,304.924,2.0,607,,8416,4058,303.423,,
3,304.924,2.0,591,,8763,4285,303.101,,
4,304.924,2.0,608,,8916,4280,303.053,,
5,305.171,2.0,418,,8854,4874,302.93,,
6,305.171,2.0,357,,8234,6201,303.858,,
7,305.171,10.0,268,,8375,6348,304.686,,
8,305.171,2.0,255,,8239,6110,305.523,,
9,305.171,10.0,255,,8328,6122,305.878,,
10,306.154,10.0,161,,8324,4916,305.889,,
11,306.154,6.0,69,,8313,6603,307.875,,
12,306.154,2.0,79,,8480,4562,306.957,,
13,306.154,7.0,338,,7089,5056,306.701,,
14,306.154,2.0,284,,6996,5302,305.869,,
15,306.509,9.0,80,,7741,5912,306.218,,
16,306.509,9.0,262,,8093,6149,306.947,,
17,306.509,9.0,42,,8093,6149,307.456,,
18,306.509,9.0,42,,7034,5379,307.548,,
19,306.509,2.0,86,,7224,5288,307.447,,
20,306.072,2.0,275,,8543,4566,306.519,,
21,306.072,2.0,475,,8690,4385,304.732,,
22,306.072,2.0,552,,8952,4373,302.984,,
23,306.072,2.0,456,,9007,4584,302.72,,
24,306.072,2.0,340,,8740,6702,303.613,,
25,304.083,2.0,143,,8672,6686,304.678,,
26,304.083,2.0,366,,8675,6429,305.096,,
27,304.083,2.0,733,,8598,3618,304.073,,
28,304.083,2.0,733,,8587,3541,302.535,,
29,304.083,2.0,737,,8676,4058,301.476,,
30,301.936,11.0,912,,8736,5764,300.409,,
31,301.936,1.0,1055,,8563,3554,299.162,,
32,301.936,2.0,1469,,8233,3275,297.835,,
33,301.936,2.0,1191,,6385,3382,297.367,,
34,301.936,2.0,711,,8919,6017,299.342,,
35,302.675,2.0,382,,8846,6518,302.359,,
36,302.675,2.0,245,,8726,6653,304.61,,
37,302.675,2.0,245,,8727,6562,305.98,,
38,302.675,2.0,167,,8057,6398,306.856,,
39,302.675,2.0,57,,6738,5136,307.489,,
40,305.759,2.0,87,,7800,6108,308.308,,
41,305.759,2.0,65,,8908,5058,308.271,,
42,305.759,2.0,219,,8849,4737,307.986,,
43,305.759,2.0,46,,8310,4924,307.548,,
44,305.759,2.0,73,,8073,4839,308.174,,
45,308.095,8.0,25,,7832,4726,309.398,,
46,308.095,2.0,25,,8254,4604,309.034,,
47,308.095,2.0,56,,8467,4779,309.185,,
48,308.095,10.0,238,,8815,4546,308.676,,
49,308.095,2.0,277,,8819,4848,308.217,,
50,309.467,2.0,151,,8053,4449,308.969,,
51,309.467,10.0,24,,4555,2564,309.759,,
52,309.467,12.0,59,,4752,3017,309.501,,
53,309.467,9.0,29,,6766,4199,310.523,,
54,309.467,4.0,167,,7939,4378,310.017,,
55,308.692,4.0,214,,8297,4368,309.002,,
56,308.692,14.0,232,,8707,6553,307.221,,
57,308.692,2.0,373,,8794,6889,306.238,,
58,308.692,2.0,91,,8732,6672,306.16,,
59,308.692,2.0,375,,8599,6201,306.484,,
60,307.252,2.0,144,,8617,6123,305.877,,
61,307.252,2.0,163,,8226,5979,305.545,,
62,307.252,2.0,101,,8127,6096,306.817,,
63,307.252,5.0,52,,3597,4511,308.714,,
64,307.252,13.0,17,,6644,4282,309.656,,
65,307.783,12.0,17,,7448,4282,308.709,,
66,307.783,7.0,67,,9078,4233,309.54,,
67,307.783,2.0,107,,9078,4764,308.127,,
68,307.783,2.0,32,,7881,5032,307.926,,
69,307.783,12.0,22,,8957,4562,307.604,,
70,304.924,2.0,585,,7881,4308,303.687,,
71,304.924,2.0,530,3.8255994,7881,4294,303.478,0.98336536,-0.18163852
72,304.924,2.0,610,3.3275084,8178,3931,303.493,-0.95263267,-0.30412328
73,304.924,2.0,551,15.256382,6945,4890,303.164,0.075479336,0.9971474
74,304.924,2.0,335,14.086095,7983,6046,303.383,0.46431243,-0.8856715
75,305.171,2.0,434,9.051502,7665,5841,303.7,-0.70147645,-0.7126926
76,305.171,2.0,500,8.717431,8266,5981,304.468,-0.040845126,-0.9991655
77,305.171,2.0,229,12.178291,8066,5892,304.994,0.86060065,0.5092804
78,305.171,7.0,192,8.382593,7795,5716,306.449,-0.05866951,0.9982775
79,305.171,13.0,192,8.079566,7523,5238,307.466,0.0755504,0.99714196
80,306.154,10.0,79,3.225723,7523,5490,307.304,0.590586,0.8069747
81,306.154,12.0,78,4.3829226,6825,3820,307.49,-0.928044,-0.37247056
82,306.154,4.0,287,5.361419,7729,3840,307.48,0.99948585,-0.032062884
83,306.154,4.0,216,9.114976,8344,4680,306.721,-0.4441228,0.89596593
84,306.154,4.0,203,11.85833,8089,4383,306.404,0.3428189,-0.9394015
85,306.509,8.0,43,6.455723,7362,5937,307.536,-0.2678247,-0.96346766
86,306.509,9.0,41,6.8993607,7130,5683,307.499,0.20417753,-0.9789339
87,306.509,2.0,199,8.292504,6965,5319,307.765,-0.8516932,0.5240407
88,306.509,9.0,199,15.682704,7885,5939,307.157,-0.054928478,-0.9984903
89,306.509,2.0,373,17.62482,8760,4322,306.251,0.4255997,-0.9049116
90,306.072,2.0,512,2.3846352,8378,4077,304.901,-0.22272973,-0.9748802
91,306.072,2.0,336,13.561073,8378,4607,304.027,0.56826174,-0.82284784
92,306.072,6.0,338,20.758776,8943,5072,304.921,-0.84104675,-0.5409624
93,306.072,2.0,154,19.277569,9007,4745,304.92,0.85983765,-0.51056755
94,306.072,2.0,99,11.140127,7376,5572,305.931,-0.688128,0.72558933
95,304.083,2.0,445,27.371588,8709,6239,306.049,0.5480852,0.8364225
96,304.083,2.0,707,23.443699,8078,3731,304.859,-0.01816615,-0.99983495
97,304.083,2.0,707,13.059028,8559,3375,303.032,-0.36946714,0.9292438
98,304.083,2.0,966,1.4772558,8375,3596,301.123,-0.9932265,-0.11619392
99,304.083,2.0,893,7.866879,8435,3708,300.66,0.78091675,-0.62463516
100,301.936,2.0,1015,20.667856,8678,5354,300.136,0.9985454,0.0539167
101,301.936,2.0,1287,12.968281,8876,5281,298.837,-0.9545376,0.29809073
102,301.936,2.0,1052,17.162746,8875,5232,297.546,-0.4825025,0.8758946
103,301.936,1.0,1287,16.436275,8875,5232,297.177,0.8518527,-0.52378136
104,301.936,2.0,817,41.914368,8901,5841,298.821,-0.24709855,-0.9689903
105,302.675,2.0,448,27.540186,8763,6546,301.912,-0.8753042,0.4835727
106,302.675,2.0,288,8.094303,8228,6625,304.363,0.86392707,-0.5036169
107,302.675,2.0,288,7.638351,8518,6403,306.096,0.32502118,0.9457067
108,302.675,2.0,121,10.555256,7443,6088,307.036,-0.39064,0.92054355
109,302.675,8.0,80,3.8981044,7056,5109,308.86,-0.3258304,-0.94542825
110,305.759,10.0,54,4.038437,8591,6259,308.395,-0.4674615,0.8840134
111,305.759,2.0,217,5.6745005,8727,6548,307.813,0.78553367,-0.61881894
112,305.759,2.0,157,7.035771,8605,6559,307.6,-0.9858829,0.16743624
113,305.759,2.0,22,5.6710634,8043,6437,308.311,0.63925344,0.7689961
114,305.759,10.0,51,1.3582261,8215,4916,308.921,0.680528,-0.7327221
115,308.095,9.0,55,0.81196237,8130,4813,309.474,-0.7705421,-0.6373891
116,308.095,9.0,55,1.2622337,7723,4260,309.281,0.04104271,0.99915737
117,308.095,10.0,30,5.126967,8095,4274,308.563,0.19515333,0.98077273
118,308.095,10.0,145,9.798579,8403,4327,308.518,-0.94718397,-0.32069066
119,308.095,9.0,140,10.618164,7858,4552,307.935,-0.8889149,0.45807242
120,309.467,9.0,37,8.644072,6411,4461,309.236,0.38906586,0.92120993
121,309.467,9.0,30,2.439934,5747,3288,309.955,-0.86476535,0.5021761
122,309.467,13.0,23,0.79814786,5464,3248,310.03,-0.07601461,0.99710673
123,309.467,8.0,24,8.754459,8168,4441,310.481,0.9848824,-0.17322409
124,309.467,2.0,276,10.156259,8692,4308,309.615,-0.8715287,0.49034452
125,308.692,4.0,276,3.6252205,8727,4695,308.413,-0.41428262,0.9101483
126,308.692,2.0,232,6.1020865,8667,4577,307.544,0.97766906,0.21015048
127,308.692,2.0,373,9.855907,8817,6817,307.158,-0.24542333,-0.969416
128,308.692,2.0,91,6.461251,8718,6744,307.443,0.9958696,0.090794995
129,308.692,2.0,375,8.274986,9027,6790,307.888,0.5570805,0.8304585
130,307.252,2.0,144,9.516109,8732,6658,307.463,0.52644974,-0.85020626
131,307.252,2.0,163,3.6248453,8251,6416,306.93,-0.17426905,0.98469806
132,307.252,4.0,101,5.84729,7012,5480,307.832,0.49366027,0.86965483
133,307.252,13.0,52,2.1886194,4248,2425,309.368,0.4889888,0.8722901
134,307.252,13.0,17,2.803401,5216,3034,309.836,-0.2028489,0.9792101
135,307.783,13.0,17,2.396875,7796,3589,309.756,-0.6673299,-0.74476224
136,307.783,2.0,67,1.349663,8863,6475,309.648,-0.22210194,-0.97502345
137,307.783,12.0,15,3.4831262,7922,4801,308.191,0.9180538,-0.3964558
138,307.783,12.0,14,1.9796637,7397,4801,308.611,-0.5511878,-0.8343812
139,307.783,9.0,13,,7579,5029,309.791,,
140,304.924,2.0,526,,8165,4320,303.606,,
141,304.924,2.0,609,5.2675853,9083,4238,303.15,0.83012867,-0.5575719
142,304.924,2.0,590,14.628448,9152,4442,303.078,0.6314807,0.7753916
143,304.924,2.0,309,20.115816,7990,6140,303.396,-0.7250714,-0.68867373
144,304.924,2.0,280,12.676796,7933,5800,304.351,0.89476174,0.44654387
145,305.171,2.0,261,13.6216135,7622,5671,304.665,0.55833334,-0.8296167
146,305.171,2.0,228,15.088941,8255,5974,304.648,0.13368005,0.99102455
147,305.171,14.0,258,13.032089,8231,5758,304.495,-0.6455787,-0.76369375
148,305.171,2.0,46,8.817182,7741,5758,306.742,0.35182238,0.93606675
149,305.171,13.0,46,5.0113916,6368,4574,308.293,-0.29880372,0.9543146
150,306.154,9.0,143,3.7881093,7919,4155,308.006,-0.83161664,0.5553502
151,306.154,8.0,221,3.9216175,7712,3941,308.007,0.46328604,0.88620883
152,306.154,9.0,55,8.174309,7756,4386,307.455,0.28141224,0.959587
153,306.154,9.0,70,8.248204,8407,4833,307.489,-0.99015164,0.13999887
154,306.154,9.0,69,2.7087367,6938,4438,307.538,-0.59296113,-0.8052311
155,306.509,9.0,38,9.733476,7343,6085,307.83,0.12658808,-0.9919554
156,306.509,2.0,116,18.856161,7144,5376,307.875,0.4875406,-0.87310034
157,306.509,2.0,303,13.8789,7741,5873,307.378,0.5456645,0.83800375
158,306.509,2.0,303,7.9057703,8304,6141,305.704,-0.67703414,-0.7359516
159,306.509,2.0,486,5.4896994,8544,6233,304.374,0.22996004,-0.9732001
160,306.072,2.0,351,20.097214,8404,6387,304.021,0.059085596,0.9982529
161,306.072,8.0,118,18.360275,7637,6087,305.927,-0.48957333,-0.87196213
162,306.072,8.0,91,12.713034,7641,5497,307.119,0.75771344,0.6525874
163,306.072,12.0,38,5.0000415,7342,4031,306.699,0.96271205,0.27052826
164,306.072,10.0,145,22.501389,6641,6159,307.276,0.49555925,0.86857414
165,304.083,2.0,574,27.141632,8065,5309,305.792,-0.7021621,0.7120172
166,304.083,2.0,802,13.488794,8065,5510,303.49,-0.9902084,-0.13959722
167,304.083,2.0,802,17.40995,8574,5694,301.295,0.9761531,-0.21708341
168,304.083,2.0,774,25.250647,8574,6487,300.782,-0.7125529,-0.7016184
169,304.083,2.0,469,27.641005,8474,3957,301.731,-0.6437046,-0.76527405
170,301.936,2.0,880,35.170113,8690,5498,301.545,-0.66464055,0.7471633
171,301.936,1.0,936,25.83308,8779,5320,300.409,0.12203744,0.9925255
172,301.936,1.0,830,20.09415,8806,5276,299.551,-0.8390117,-0.54411334
173,301.936,1.0,1186,16.898586,8806,5472,298.953,-0.5632867,0.8262615
174,301.936,1.0,852,40.47525,8849,6290,299.116,-0.08883155,0.99604666
175,302.675,2.0,383,30.211256,8849,6290,301.712,-0.9991475,0.04128404
176,302.675,2.0,210,11.373331,8595,6669,304.4,0.10489886,0.9944829
177,302.675,2.0,210,8.70938,8324,6113,306.206,-0.8872502,0.46128848
178,302.675,2.0,55,8.693458,7156,6113,307.228,-0.7786473,0.6274618
179,302.675,2.0,27,2.6150491,7762,6255,308.305,-0.99956787,0.029394802
180,305.759,2.0,39,3.443699,7755,6207,308.666,-0.6988027,0.71531445
181,305.759,10.0,22,5.794153,7755,6207,308.035,0.91993827,0.39206326
182,305.759,14.0,47,5.418,8155,6251,307.813,0.84696406,0.5316501
183,305.759,10.0,25,2.8154714,7164,5460,308.702,0.93582433,-0.35246682
184,305.759,2.0,28,2.079227,8279,4911,309.265,0.9712908,-0.2378952
185,308.095,9.0,63,1.4382317,7835,4703,309.521,0.9986155,-0.052602798
186,308.095,9.0,63,1.12353,7837,4740,309.482,0.828493,-0.5599994
187,308.095,2.0,39,0.9644125,7915,4740,309.103,-0.98527855,-0.17095682
188,308.095,10.0,24,4.079698,7808,4782,308.977,0.4736012,0.8807394
189,308.095,9.0,30,4.729842,7836,4631,309.48,0.60964215,0.7926768
190,309.467,9.0,18,2.1248584,6926,5344,309.957,0.5377419,0.8431095
191,309.467,9.0,19,0.15561774,5747,4625,310.095,0.5775411,-0.8163616
192,309.467,9.0,30,0.3190347,7488,3915,310.242,-0.863113,0.50501084
193,309.467,2.0,24,7.4856434,7488,3365,310.339,0.9472165,-0.32059452
194,309.467,9.0,98,7.4964104,7870,3365,309.587,0.6015055,-0.79886866
195,308.692,10.0,98,7.5203485,8638,4403,308.394,-0.89350516,-0.4490529
196,308.692,14.0,353,3.8927739,8714,4731,306.741,0.33997408,-0.9404348
197,308.692,10.0,225,14.5034895,8651,5032,307.05,-0.59997046,-0.8000222
198,308.692,2.0,31,9.270496,8684,4204,308.439,0.98838556,0.15196705
199,308.692,2.0,106,9.735272,8804,4952,308.994,-0.9904453,0.13790607
200,307.252,2.0,70,7.0378847,8804,4557,308.684,0.99917907,0.0405119
201,307.252,13.0,123,5.688514,7620,5013,308.651,0.43906173,0.8984569
202,307.252,13.0,17,5.4505982,5931,3496,309.043,-0.8951862,0.44569242
203,307.252,13.0,42,2.164088,6652,3338,309.654,-0.65953183,-0.7516766
204,307.252,13.0,98,1.1171727,6353,3682,309.792,0.9848704,0.1732927
205,307.783,13.0,98,1.6394339,7796,4385,309.833,-0.4324492,0.9016583
206,307.783,13.0,15,2.5663762,7653,4847,309.992,-0.5666987,0.82392514
207,307.783,9.0,15,0.5864693,7653,5040,310.334,-0.88044757,0.47414356
208,307.783,9.0,14,0.50843716,7706,5040,310.387,0.41504675,0.90980005
209,307.783,9.0,13,,7677,5073,310.257,,
210,304.924,2.0,553,,9049,4472,303.471,,
211,304.924,4.0,425,14.74538,9049,4613,303.314,-0.15736686,-0.9875402
212,304.924,2.0,403,20.850616,8571,4449,303.48,0.7695246,-0.63861716
213,304.924,2.0,189,17.668177,7945,5941,304.501,0.47282505,-0.8811563
214,304.924,2.0,120,10.045962,7830,5799,305.654,0.035489507,0.99937004
215,305.171,2.0,174,8.162106,8227,6348,305.827,0.1988172,-0.9800366
216,305.171,14.0,74,5.723012,6646,4989,305.465,0.34370977,-0.93907595
217,305.171,12.0,94,5.64703,7520,5474,306.368,-0.47729066,0.8787455
218,305.171,12.0,61,4.835757,6559,4849,307.262,-0.1658462,0.98615164
219,305.171,12.0,61,1.5588583,7764,3940,307.926,0.9066832,0.42181227
220,306.154,12.0,52,4.8905907,7966,4094,307.502,-0.42869502,-0.90344924
221,306.154,10.0,45,5.5190506,8105,4454,307.254,-0.82155776,-0.5701253
222,306.154,12.0,47,2.6810486,7891,4409,307.194,-0.99649155,0.08369358
223,306.154,12.0,53,1.3595454,7491,4579,307.65,-0.7495479,0.6619501
224,306.154,9.0,67,10.783403,7190,5038,308.226,0.7763672,-0.63028085
225,306.509,9.0,251,17.331808,7102,5188,307.713,0.07281177,0.9973457
226,306.509,2.0,494,7.7228866,7224,5169,307.109,0.024969364,-0.9996882
227,306.509,2.0,408,2.5587208,7512,5146,305.881,-0.34529385,0.9384946
228,306.509,2.0,408,9.659365,8445,5963,304.693,0.7061736,-0.70803875
229,306.509,2.0,265,18.464739,8471,6464,304.231,-0.77850366,0.62764007
230,306.072,9.0,55,16.46689,8057,6187,305.124,0.9979829,0.06348294
231,306.072,8.0,34,5.784127,6591,5191,307.569,-0.93149143,0.36376327
232,306.072,9.0,37,1.580725,6134,4639,307.787,-0.27685896,-0.96091056
233,306.072,7.0,38,5.8575373,6528,5266,308.59,0.5816839,-0.81341493
234,306.072,10.0,208,19.019573,8127,6206,307.197,0.4396354,0.8981763
235,304.083,2.0,444,22.629362,8420,5944,305.372,0.6854468,-0.7281227
236,304.083,2.0,416,27.556162,8404,5890,303.338,0.66545147,0.7464411
237,304.083,2.0,416,29.61681,8425,6070,302.498,-0.9923212,-0.12368749
238,304.083,2.0,364,25.2792,8652,4108,303.035,0.9784929,0.20628035
239,304.083,2.0,326,19.83192,8645,4160,303.868,-0.3470915,-0.9378313
240,301.936,2.0,420,26.47584,8490,3783,303.67,-0.38398802,0.92333806
241,301.936,2.0,595,25.490108,8517,5441,302.815,0.912539,0.40898967
242,301.936,1.0,869,23.469978,8669,5429,301.472,0.9478539,-0.31870514
243,301.936,1.0,826,27.575514,8669,5402,300.54,0.18697284,0.9823651
244,301.936,2.0,579,37.509937,8792,6001,300.653,0.5417966,0.84050965
245,302.675,2.0,259,26.635061,8830,6001,302.663,-0.6764527,0.7364861
246,302.675,2.0,125,10.477247,8514,6569,305.2,-0.26409498,0.9644967
247,302.675,2.0,125,5.3153005,8167,6211,306.79,0.23061098,-0.973046
248,302.675,2.0,102,4.5014486,7918,5968,307.967,0.65650254,-0.75432384
249,302.675,2.0,49,3.0945103,8047,6270,308.469,0.69339734,0.7205554
250,305.759,10.0,23,0.21268976,8000,6270,308.912,-0.86335564,0.50459594
251,305.759,9.0,53,0.546358,7878,6270,309.653,-0.954998,0.29661214
252,305.759,9.0,47,1.1551962,8067,6516,309.049,0.993692,-0.112143725
253,305.759,9.0,15,0.86037034,8483,5245,309.55,-0.035261065,0.99937814
254,305.759,10.0,21,1.5462706,8375,5245,308.745,0.7232256,0.69061184
255,308.095,10.0,59,2.1220706,8181,5054,309.062,-0.92678547,-0.37559113
256,308.095,2.0,59,1.1865821,8461,4914,309.162,-0.9946212,0.103579335
257,308.095,2.0,48,1.1521528,8583,5140,309.137,0.9961234,-0.08796732
258,308.095,10.0,26,2.541209,7828,4667,309.316,0.27751228,-0.9607221
259,308.095,9.0,19,1.5376496,7773,4712,309.896,0.7990979,0.6012009
260,309.467,9.0,19,0.54325354,6493,4712,309.934,-0.99979347,-0.020322554
261,309.467,14.0,46,0.2997481,6857,4509,309.291,0.78278536,0.6222918
262,309.467,12.0,18,0.4154858,7624,4387,309.567,-0.8984783,-0.4390179
263,309.467,12.0,45,7.747059,7398,3890,309.896,0.5125459,0.8586598
264,309.467,14.0,218,7.308272,8187,4361,309.103,0.54703397,0.8371104
265,308.692,2.0,218,5.964149,8763,4751,308.199,0.08004944,-0.9967909
266,308.692,2.0,341,6.4577174,8621,4820,307.519,-0.65599376,-0.7547663
267,308.692,2.0,171,14.653731,5839,4047,308.175,-0.35617292,0.93442005
268,308.692,8.0,32,6.9236126,4507,2722,309.75,0.9522417,0.3053453
269,308.692,13.0,23,3.8784544,5829,3251,309.89,0.9744779,0.22448356
270,307.252,12.0,108,3.8265762,7826,4465,309.37,-0.48693454,-0.8734385
271,307.252,13.0,20,4.5169644,5166,2905,309.429,-0.84444183,-0.5356473
272,307.252,13.0,15,2.0620859,5166,2905,309.53,-0.084407836,0.9964313
273,307.252,13.0,14,1.955759,4349,3530,309.825,-0.644961,-0.76421547
274,307.252,13.0,15,3.318635,4349,2444,309.919,0.77482706,0.63217324
275,307.783,13.0,15,3.2265618,3711,2067,309.982,0.32067916,0.9471879
276,307.783,13.0,14,1.3301842,6652,4037,310.227,-0.72047305,0.69348294
277,307.783,9.0,10,0.71115094,7633,4840,310.678,0.13429609,-0.9909412
278,307.783,9.0,39,0.8992443,7906,5329,310.585,0.37466323,0.927161
279,307.783,9.0,11,,7581,4808,310.239,,
280,304.924,6.0,487,,8262,4486,304.135,,
281,304.924,2.0,306,18.411858,8290,5034,304.259,-0.89562935,-0.4448012
282,304.924,2.0,145,14.1106615,8623,4603,305.05,0.30918747,0.9510011
283,304.924,4.0,86,8.3814745,7992,4548,306.097,-0.8808319,0.47342914
284,304.924,14.0,71,3.4518855,8104,5358,306.148,-0.31331906,-0.9496479
285,305.171,2.0,54,3.1688643,6817,4993,307.072,0.9644253,0.2643554
286,305.171,12.0,158,1.1527724,7966,5297,306.876,-0.58679026,-0.80973893
287,305.171,14.0,127,3.684188,7679,4717,307.637,0.1803598,-0.9836007
288,305.171,8.0,45,2.9179795,7617,4580,308.601,-0.99985874,-0.016808903
289,305.171,8.0,45,0.70438373,5521,3522,308.685,-0.51975995,0.85431236
290,306.154,10.0,40,0.46583262,6767,3540,307.926,0.5410162,0.8410122
291,306.154,5.0,38,0.34975722,7854,4656,308.073,-0.20210347,-0.97936416
292,306.154,5.0,61,0.77604663,7658,3874,308.156,0.7362243,0.6767376
293,306.154,14.0,53,2.4218504,6009,4797,308.107,0.5566843,-0.8307241
294,306.154,14.0,113,12.183492,6460,4392,307.824,0.25065035,0.96807766
295,306.509,8.0,425,12.980237,7738,5536,307.665,0.016275382,0.99986756
296,306.509,2.0,253,17.10683,8458,6480,305.221,0.7376047,0.6752328
297,306.509,2.0,187,18.1629,8681,5582,304.383,-0.72904193,-0.68446904
298,306.509,2.0,187,16.6314,8185,5431,304.561,0.9755353,-0.219843
299,306.509,8.0,52,12.925417,7004,5396,306.675,-0.525789,0.850615
300,306.072,9.0,31,3.510754,7684,5810,307.095,-0.7997789,-0.6002947
301,306.072,9.0,85,2.1191072,6342,4894,307.705,-0.21163315,-0.97734916
302,306.072,9.0,70,2.4124207,6396,4488,308.11,0.9951912,-0.09795144
303,306.072,9.0,48,3.109964,8296,4253,307.86,0.9833218,0.18187441
304,306.072,10.0,135,10.923882,8754,4824,307.098,-0.09426982,-0.9955467
305,304.083,10.0,140,14.701877,9084,4581,305.531,-0.99539137,-0.09589569
306,304.083,2.0,167,15.304872,8589,6345,305.094,-0.79471534,0.60698235
307,304.083,2.0,167,14.181718,8480,4169,305.227,0.24747917,-0.96889323
308,304.083,2.0,159,13.44466,8480,4215,305.614,0.9673758,0.25334573
309,304.083,2.0,234,14.589075,8432,4144,305.694,0.650651,-0.7593769
310,301.936,2.0,327,19.800222,8432,4179,305.127,0.99986637,-0.016348444
311,301.936,2.0,441,28.75316,8673,5840,304.507,0.030473437,-0.99953556
312,301.936,2.0,507,35.185028,8630,5990,303.272,-0.94372654,-0.33072686
313,301.936,11.0,518,34.934174,8623,6007,302.492,-0.53336513,0.8458851
314,301.936,11.0,308,30.212244,8700,6086,302.859,-0.84820634,-0.52966595
315,302.675,2.0,146,18.23859,8698,6625,304.551,-0.53914875,-0.84221053
316,302.675,2.0,60,7.700696,8371,6569,306.232,-0.4499497,-0.8930539
317,302.675,2.0,60,4.2532496,8614,6143,307.248,0.27350834,0.96186966
318,302.675,2.0,91,2.7310755,8529,6399,307.641,0.48644906,0.87370896
319,302.675,2.0,45,3.6740305,8357,6407,307.714,0.6709471,-0.7415052
320,305.759,9.0,28,1.2089434,7958,4846,309.099,-0.4011033,-0.91603285
321,305.759,9.0,44,1.5372964,7822,6125,309.409,0.32136565,0.9469552
322,305.759,9.0,15,1.6256977,7822,5044,309.326,-0.013797198,-0.9999048
323,305.759,14.0,32,0.52806944,7987,5233,308.16,0.015317998,-0.9998827
324,305.759,9.0,22,0.62957096,8354,5233,309.138,-0.86967516,-0.4936245
325,308.095,10.0,19,1.7181045,8717,4782,308.947,-0.38861495,-0.92140025
326,308.095,9.0,19,2.3803596,7609,4796,309.379,-0.999271,-0.03817769
327,308.095,9.0,70,1.9724776,8292,4796,309.222,-0.94014233,0.340782
328,308.095,9.0,101,1.9514197,8306,4869,309.753,0.9881512,-0.15348345
329,308.095,9.0,23,2.4974394,8306,5267,309.862,0.65607905,0.7546922
330,309.467,9.0,12,0.70438373,8305,5116,309.918,-0.7836321,-0.62122524
331,309.467,9.0,19,0.9398931,8127,4818,310.051,-0.99095255,0.1342125
332,309.467,9.0,14,0.91540813,5923,4837,310.017,-0.19539137,-0.98072535
333,309.467,9.0,21,6.9319935,6843,2891,310.31,0.6747558,0.7380411
334,309.467,8.0,155,9.492667,8483,3880,309.819,0.12365278,0.99232554
335,308.692,4.0,155,11.209843,8881,4453,308.38,-0.96001863,0.27993616
336,308.692,12.0,120,12.405167,8483,3795,307.668,0.10703721,-0.994255
337,308.692,12.0,85,10.428996,7750,3812,308.546,0.05283931,0.99860305
338,308.692,13.0,15,4.583738,6301,3640,309.754,-0.9851189,-0.17187393
339,308.692,10.0,13,2.0130382,5010,3746,309.983,0.9424219,0.33442628
340,307.252,13.0,9,2.7123828,5288,2009,309.913,-0.61954236,0.78496325
341,307.252,13.0,12,1.9026514,4032,2410,309.848,-0.47167167,0.88177425
342,307.252,13.0,12,0.32150468,4850,3839,309.86,0.97023207,0.24217717
343,307.252,10.0,16,0.20259005,5980,3430,309.839,-0.9590497,0.28323781
344,307.252,12.0,16,0.09563881,4056,2943,309.833,0.8628126,0.505524
345,307.783,10.0,11,0.95304376,4608,3113,310.297,0.36696607,0.9302343
346,307.783,9.0,13,3.0536761,6801,4106,310.437,-0.8090641,0.5877204
347,307.783,9.0,28,2.9867206,8117,4937,310.536,-0.29181018,-0.9564763
348,307.783,9.0,15,2.8369691,8300,5219,310.227,-0.053374365,-0.99857455
349,307.783,2.0,64,,9056,5107,309.853,,
350,305.846,2.0,487,,8417,4531,304.345,,
351,305.846,2.0,306,15.53274,8417,4526,305.251,0.76729006,-0.6413002
352,305.846,7.0,145,5.986818,8149,4289,307.082,-0.997162,-0.07528627
353,305.846,14.0,86,2.254842,7899,4161,306.982,-0.002884102,0.9999958
354,305.846,14.0,71,1.3203772,8020,4524,307.185,0.1939184,0.98101765
355,306.492,14.0,54,1.6766582,7963,5193,307.284,-0.97219753,0.23416232
356,306.492,8.0,158,2.5984635,7981,4571,308.332,-0.9771103,0.21273324
357,306.492,8.0,127,2.2474823,6252,3895,308.308,-0.77432054,0.63279355
358,306.492,9.0,56,2.805375,6665,3557,308.06,0.7796985,-0.62615514
359,306.492,12.0,34,1.1241466,5849,3147,308.056,-0.99711835,-0.07586183
360,307.614,14.0,55,0.36566725,7141,4541,308.131,0.88829255,-0.45927808
361,307.614,14.0,38,0.66109157,6736,4216,308.149,-0.55309737,0.8331166
362,307.614,14.0,33,0.94400483,6494,4408,308.083,0.9972142,-0.07459124
363,307.614,12.0,31,2.8679304,7312,4341,308.047,0.5835297,-0.81209177
364,307.614,8.0,98,8.035981,6800,4825,308.386,0.07300176,0.9973318
365,308.275,8.0,34,12.787138,8395,5877,307.318,0.35814664,0.93366534
366,308.275,8.0,78,11.876668,8280,5003,306.331,0.93433106,0.35640627
367,308.275,14.0,39,7.74054,7371,5218,304.745,0.5402066,-0.8415324
368,308.275,4.0,39,5.119482,6459,4605,306.133,0.53956103,0.8419465
369,308.275,12.0,30,1.8544885,5641,4758,306.703,0.14056125,-0.990072
370,307.161,9.0,50,0.4309498,6825,5108,307.856,0.7346822,0.6784114
371,307.161,12.0,35,3.5201986,6078,4995,307.37,-0.91810966,0.39632648
372,307.161,9.0,71,0.97290295,6007,4532,308.04,-0.8478751,-0.53019595
373,307.161,9.0,54,1.4421563,7821,4105,307.93,0.3421165,-0.93965757
374,307.161,9.0,96,3.2292411,8530,4749,307.797,-0.20872146,-0.97797513
